s,label,ku_source,score,parcours,ka,ku,answer,explain
http://example.org/course/X1II060,Introduction à la recherche,file:///Users/molli-p/BodyOfKnowledge/Software_Engineering_SE/SE-Formal_Methods.txt,0.62662125,"ATAL,ORO,DS,CMI,ALMA,VICO",Software_Engineering_SE,SE-Formal_Methods,1,"The lecture covers the majority of the Knowledge Unit's content, with only the placeholder advanced topics (4 and 5) not mentioned."
http://example.org/course/X1II060,Introduction à la recherche,file:///Users/molli-p/BodyOfKnowledge/Networking_and_Communication_NC/NC-Fundamentals_Fundamentals.txt,0.62078196,"ATAL,ORO,DS,CMI,ALMA,VICO",Networking_and_Communication_NC,NC-Fundamentals_Fundamentals,1,"The lecture covers the Fundamentals of networking, including organization of the internet and layers, which are also covered in the Knowledge Unit."
http://example.org/course/X1II060,Introduction à la recherche,file:///Users/molli-p/BodyOfKnowledge/Architecture_and_Organization_AR/AR-Representation_Machine-Level_Data_Representation.txt,0.6177002,"ATAL,ORO,DS,CMI,ALMA,VICO",Architecture_and_Organization_AR,AR-Representation_Machine-Level_Data_Representation,1,"The lecture covers the fundamental concepts of data representation in computer architecture, including numeric and non-numeric representations."
http://example.org/course/X1LI010,Management à Visée Innovante et Entrepreunariale,file:///Users/molli-p/BodyOfKnowledge/Software_Engineering_SE/SE-Project_Management.txt,0.66312146,"ATAL,DS,ALMA,VICO,ORO,CMI",Software_Engineering_SE,SE-Project_Management,1,"The lecture covers most of the practical aspects of SE-Project Management and some of the KA Core concepts, but only partially touches on the theoretical importance in computing."
http://example.org/course/X1LI010,Management à Visée Innovante et Entrepreunariale,file:///Users/molli-p/BodyOfKnowledge/Software_Engineering_SE/SE-Requirements_Engineering.txt,0.6321473,"ATAL,DS,ALMA,VICO,ORO,CMI",Software_Engineering_SE,SE-Requirements_Engineering,0,No clear connection between Management à Visée Innovante et Entrepreunariale and SE-Requirements Engineering.
http://example.org/course/X1LI010,Management à Visée Innovante et Entrepreunariale,file:///Users/molli-p/BodyOfKnowledge/Software_Engineering_SE/SE-Maintenance_and_Evolution.txt,0.63776207,"ATAL,DS,ALMA,VICO,ORO,CMI",Software_Engineering_SE,SE-Maintenance_and_Evolution,0,The lecture content does not align with the Knowledge Unit's core concepts and outcomes.
http://example.org/course/X1LI010,Management à Visée Innovante et Entrepreunariale,file:///Users/molli-p/BodyOfKnowledge/Software_Engineering_SE/SE-Requirements_Engineering.txt,0.6321473,"ATAL,DS,ALMA,VICO,ORO,CMI",Software_Engineering_SE,SE-Requirements_Engineering,0,The lecture does not cover the core concepts of SE-Requirements Engineering.
http://example.org/course/X2CI010,Communication CMI S8,file:///Users/molli-p/BodyOfKnowledge/Society_Ethics_and_the_Profession_SEP/SEP-Social_Context.txt,0.6604669,CMI,Society_Ethics_and_the_Profession_SEP,SEP-Social_Context,1,"The lecture covers the basics of social context in computing, including human agency and oversight, diversity and accessibility, and the internet's role in facilitating communication."
http://example.org/course/X2CI010,Communication CMI S8,file:///Users/molli-p/BodyOfKnowledge/Security_SEC/SEC-Incident_Response.txt,0.6529287,CMI,Security_SEC,SEC-Incident_Response,0,"The lecture focuses on Communication and recruitment processes, whereas the Knowledge Unit covers incident response in computer security. The two topics are unrelated."
http://example.org/course/X2CI010,Communication CMI S8,file:///Users/molli-p/BodyOfKnowledge/Society_Ethics_and_the_Profession_SEP/SEP-Communication.txt,0.6488658,CMI,Society_Ethics_and_the_Profession_SEP,SEP-Communication,1,"The lecture covers a significant portion of the knowledge unit's topics, such as communication skills in professional settings and team collaboration."
http://example.org/course/X2I2010,Programmation par Contraintes,file:///Users/molli-p/BodyOfKnowledge/Algorithmic_Foundations_AL/AL-Models_Computational_Models_and_Formal_Languages.txt,0.6971531,"ORO,CMI",Algorithmic_Foundations_AL,AL-Models_Computational_Models_and_Formal_Languages,1,"The lecture covers several core concepts of the Knowledge Unit, such as formal automata, languages, and grammars, decidability, halting problem, and Church-Turing thesis."
http://example.org/course/X2I2010,Programmation par Contraintes,file:///Users/molli-p/BodyOfKnowledge/Software_Development_Fundamentals_SDF/SDF-Fundamental_Programming_Concepts_and_Practices.txt,0.6837604,"ORO,CMI",Software_Development_Fundamentals_SDF,SDF-Fundamental_Programming_Concepts_and_Practices,1,"The lecture covers the core concepts of programming and constraint programming, which is also covered in the knowledge unit."
http://example.org/course/X2I2010,Programmation par Contraintes,file:///Users/molli-p/BodyOfKnowledge/Software_Development_Fundamentals_SDF/SDF-Fundamental_Programming_Concepts_and_Practices.txt,0.67374945,"ORO,CMI",Software_Development_Fundamentals_SDF,SDF-Fundamental_Programming_Concepts_and_Practices,1,"The lecture covers the core concepts of programming and constraint programming, which is also covered in the knowledge unit."
http://example.org/course/X2I3010,Programmation multi-coeurs,file:///Users/molli-p/BodyOfKnowledge/Foundations_Of_Programming_Languages/Foundations_Of_Programming_Languages.txt,0.69782317,"ATAL,ORO,DS,CMI,ALMA,VICO",Foundations_Of_Programming_Languages,Foundations_Of_Programming_Languages,1,"The lecture covers most of the content of the Knowledge Unit, specifically Concurrency and Parallelism."
http://example.org/course/X2I3010,Programmation multi-coeurs,file:///Users/molli-p/BodyOfKnowledge/Software_Development_Fundamentals_SDF/SDF-Fundamental_Programming_Concepts_and_Practices.txt,0.69451606,"ATAL,ORO,DS,CMI,ALMA,VICO",Software_Development_Fundamentals_SDF,SDF-Fundamental_Programming_Concepts_and_Practices,1,"The lecture covers most of the fundamental programming concepts, including variables, data types, control flow, functions, and error handling."
http://example.org/course/X2I3010,Programmation multi-coeurs,file:///Users/molli-p/BodyOfKnowledge/Architecture_and_Organization_AR/AR-Assembly_Assembly_Level_Machine_Organization.txt,0.6897046,"ATAL,ORO,DS,CMI,ALMA,VICO",Architecture_and_Organization_AR,AR-Assembly_Assembly_Level_Machine_Organization,1,"The lecture covers the basics of multi-core programming, synchronization, and machine organization, which is also covered in the Knowledge Unit. The lecture's focus on von Neumann architecture, control units, and shared memory multiprocessors/multicore organization aligns with the Knowledge Unit's CS Core topics."
http://example.org/course/X2I3020,Decision Engineering,file:///Users/molli-p/BodyOfKnowledge/Artificial_Intelligence_AI/AI-KRR_Fundamental_Knowledge_Representation_and_Reasoning.txt,0.68474495,"ATAL,ORO,DS,CMI,ALMA,VICO",Artificial_Intelligence_AI,AI-KRR_Fundamental_Knowledge_Representation_and_Reasoning,0,Most concepts in the Knowledge Unit are not covered in the lecture.
http://example.org/course/X2I3020,Decision Engineering,file:///Users/molli-p/BodyOfKnowledge/Artificial_Intelligence_AI/AI-ML_Machine_Learning.txt,0.66869825,"ATAL,ORO,DS,CMI,ALMA,VICO",Artificial_Intelligence_AI,AI-ML_Machine_Learning,1,"The lecture covers most of the knowledge unit, with only minor gaps in graph analysis and graphical models."
http://example.org/course/X2I3020,Decision Engineering,file:///Users/molli-p/BodyOfKnowledge/Artificial_Intelligence_AI/AI-Probability_Probabilistic_Representation_and_Reasoning.txt,0.66795266,"ATAL,ORO,DS,CMI,ALMA,VICO",Artificial_Intelligence_AI,AI-Probability_Probabilistic_Representation_and_Reasoning,0,"The lecture does not cover the probabilistic representation and reasoning part of the Knowledge Unit, which is a significant portion of it."
http://example.org/course/X2I4010,Systèmes temps réel embarqués,file:///Users/molli-p/BodyOfKnowledge/Software_Engineering_SE/SE-Formal_Methods.txt,0.69702315,"ATAL,ORO,DS,CMI,ALMA,VICO",Software_Engineering_SE,SE-Formal_Methods,1,"The lecture covers most of the knowledge unit, specifically the topics related to real-time systems and their implementation, which correspond to the Computer Science Core topics (1-3). However, it does not cover the advanced topics in KA Core (4-5) and SE-Formal Methods."
http://example.org/course/X2I4010,Systèmes temps réel embarqués,file:///Users/molli-p/BodyOfKnowledge/Software_Engineering_SE/SE-Software_Architecture.txt,0.6926122,"ATAL,ORO,DS,CMI,ALMA,VICO",Software_Engineering_SE,SE-Software_Architecture,1,"The lecture covers most of the knowledge unit's content, including system architecture, task management, memory and interrupt handling, scheduling policies, temporal analysis, embedded systems constraints and implementation."
http://example.org/course/X2I4010,Systèmes temps réel embarqués,file:///Users/molli-p/BodyOfKnowledge/Parallel_and_Distributed_Computing_PDC/PDC-Fault_Tolerance.txt,0.68689287,"ATAL,ORO,DS,CMI,ALMA,VICO",Parallel_and_Distributed_Computing_PDC,PDC-Fault_Tolerance,1,"The lecture covers the topics of Système temps réel embarqué and fault tolerance, which are also part of the Knowledge Unit."
http://example.org/course/X2I5010,Probabilistic models,file:///Users/molli-p/BodyOfKnowledge/Mathematical_and_Statistical_Foundations_MSF/MSF-Probability_Probability.txt,0.73928005,"ATAL,ORO,DS,CMI,ALMA,VICO",Mathematical_and_Statistical_Foundations_MSF,MSF-Probability_Probability,0,Only the general introduction to probability and statistical concepts are covered in the lecture.
http://example.org/course/X2II010,Machine Learning,file:///Users/molli-p/BodyOfKnowledge/Artificial_Intelligence_AI/AI-ML_Machine_Learning.txt,0.7566419,"ATAL,ORO,DS,CMI,ALMA,VICO",Artificial_Intelligence_AI,AI-ML_Machine_Learning,1,"The lecture covers the main topics of supervised and unsupervised learning, including machine learning algorithms such as decision trees, logistic regression, neural networks, and clustering methods. It also touches on topics like overfitting, regularization, and learning theory."
http://example.org/course/X2II010,Machine Learning,file:///Users/molli-p/BodyOfKnowledge/Artificial_Intelligence_AI/AI-ML_Machine_Learning.txt,0.7182207,"ATAL,ORO,DS,CMI,ALMA,VICO",Artificial_Intelligence_AI,AI-ML_Machine_Learning,1,"The lecture covers the main topics of supervised and unsupervised learning, including machine learning algorithms such as decision trees, logistic regression, neural networks, and clustering methods. It also touches on topics like overfitting, regularization, and learning theory."
http://example.org/course/X2II010,Machine Learning,file:///Users/molli-p/BodyOfKnowledge/Artificial_Intelligence_AI/AI-ML_Machine_Learning.txt,0.70079315,"ATAL,ORO,DS,CMI,ALMA,VICO",Artificial_Intelligence_AI,AI-ML_Machine_Learning,1,"The lecture covers the main topics of supervised and unsupervised learning, including machine learning algorithms such as decision trees, logistic regression, neural networks, and clustering methods. It also touches on topics like overfitting, regularization, and learning theory."
http://example.org/course/X2II090,Stage,file:///Users/molli-p/BodyOfKnowledge/Graphics_and_Interactive_Techniques_GIT/GIT-Augmented_Reality.txt,0.6324985,"ATAL,ORO,DS,CMI,ALMA,VICO",Graphics_and_Interactive_Techniques_GIT,GIT-Augmented_Reality,1,"The lecture covers approximately 3 out of 5 concepts, including placeholder topics 1-3 from the KA Core and partially aligns with learning outcomes 1-2."
http://example.org/course/X2II090,Stage,file:///Users/molli-p/BodyOfKnowledge/Graphics_and_Interactive_Techniques_GIT/GIT-Virtual_Reality.txt,0.6310588,"ATAL,ORO,DS,CMI,ALMA,VICO",Graphics_and_Interactive_Techniques_GIT,GIT-Virtual_Reality,1,"The lecture covers the majority of the knowledge unit, with only one advanced topic left out."
http://example.org/course/X2II090,Stage,file:///Users/molli-p/BodyOfKnowledge/Software_Engineering_SE/SE-Formal_Methods.txt,0.63037485,"ATAL,ORO,DS,CMI,ALMA,VICO",Software_Engineering_SE,SE-Formal_Methods,0,"The lecture content is not explicitly specified, making it unclear whether the lecture covers the knowledge unit."
http://example.org/course/X2II110,Research Project,file:///Users/molli-p/BodyOfKnowledge/Software_Engineering_SE/SE-Project_Management.txt,0.6734427,"ATAL,ORO,DS,CMI,ALMA,VICO",Software_Engineering_SE,SE-Project_Management,0,"The lecture covers research project planning and presentation, while the Knowledge Unit is about Software Engineering (SE) Project Management concepts, topics and outcomes."
http://example.org/course/X2II110,Research Project,file:///Users/molli-p/BodyOfKnowledge/Software_Engineering_SE/SE-Formal_Methods.txt,0.67105377,"ATAL,ORO,DS,CMI,ALMA,VICO",Software_Engineering_SE,SE-Formal_Methods,0,"The lecture focuses on research skills and project presentation, whereas the Knowledge Unit covers SE-Formal Methods concepts."
http://example.org/course/X2II110,Research Project,file:///Users/molli-p/BodyOfKnowledge/Graphics_and_Interactive_Techniques_GIT/GIT-Augmented_Reality.txt,0.6599471,"ATAL,ORO,DS,CMI,ALMA,VICO",Graphics_and_Interactive_Techniques_GIT,GIT-Augmented_Reality,0,"The lecture covers the general skill of research project presentation and reporting, but does not specifically address key concepts of GIT-Augmented Reality."
http://example.org/course/X3CI020,Rapport et Soutenance en anglais,file:///Users/molli-p/BodyOfKnowledge/Software_Engineering_SE/SE-Formal_Methods.txt,0.62362295,CMI,Software_Engineering_SE,SE-Formal_Methods,0,"Lecture does not provide detailed topics, only placeholder topics."
http://example.org/course/X3CI020,Rapport et Soutenance en anglais,file:///Users/molli-p/BodyOfKnowledge/Society_Ethics_and_the_Profession_SEP/SEP-Communication.txt,0.62126875,CMI,Society_Ethics_and_the_Profession_SEP,SEP-Communication,1,"The lecture covers the majority of the content from the Knowledge Unit, specifically focusing on effective communication skills in a professional setting."
http://example.org/course/X3CI030,"Management, Gestion de projet, Entrepreunariat",file:///Users/molli-p/BodyOfKnowledge/Software_Engineering_SE/SE-Project_Management.txt,0.6604289,CMI,Software_Engineering_SE,SE-Project_Management,1,"The lecture covers the CS Core concepts and some of the KA Core topics, indicating a significant overlap with the Knowledge Unit in Computer Science."
http://example.org/course/X3CI030,"Management, Gestion de projet, Entrepreunariat",file:///Users/molli-p/BodyOfKnowledge/Architecture_and_Organization_AR/AR-Assembly_Assembly_Level_Machine_Organization.txt,0.64385694,CMI,Architecture_and_Organization_AR,AR-Assembly_Assembly_Level_Machine_Organization,0,The lecture only touches on von Neumann machine architecture and does not cover the full range of topics in the Knowledge Unit.
http://example.org/course/X3CI030,"Management, Gestion de projet, Entrepreunariat",file:///Users/molli-p/BodyOfKnowledge/Architecture_and_Organization_AR/AR-Organization_Functional_Organization.txt,0.63833076,CMI,Architecture_and_Organization_AR,AR-Organization_Functional_Organization,1,"The lecture covers the KA Core topics of implementation of simple datapaths, control units, and instruction pipelining, as well as introduction to ILP."
http://example.org/course/X3IA010,Middleware,file:///Users/molli-p/BodyOfKnowledge/Networking_and_Communication_NC/NC-Fundamentals_Fundamentals.txt,0.73144263,ALMA,Networking_and_Communication_NC,NC-Fundamentals_Fundamentals,1,"The lecture covers most of the key points of the Knowledge Unit, including fundamentals of networking and internet organization."
http://example.org/course/X3IA010,Middleware,file:///Users/molli-p/BodyOfKnowledge/Software_Engineering_SE/SE-Software_Architecture.txt,0.7135773,ALMA,Software_Engineering_SE,SE-Software_Architecture,0,The lecture covers only some aspects of software architecture and does not exhaustively cover the concepts and topics included in the Knowledge Unit.
http://example.org/course/X3IA010,Middleware,file:///Users/molli-p/BodyOfKnowledge/Specialized_Platform_Development_SPD/SPD-Common_Aspects.txt,0.7126242,ALMA,Specialized_Platform_Development_SPD,SPD-Common_Aspects,1,"The lecture covers most of the topics in the Knowledge Unit, including development platforms, platform languages, and programming under constraints."
http://example.org/course/X3IA020,Gestion des données distribuées à large échelle,file:///Users/molli-p/BodyOfKnowledge/Data_Management/Data_Management.txt,0.710076,"ATAL,ALMA",Data_Management,Data_Management,0,"The lecture primarily focuses on distributed data management at large scale and does not comprehensively cover the broader topics of database design, query processing, indexing, transaction management, and data mining as presented in the knowledge unit."
http://example.org/course/X3IA020,Gestion des données distribuées à large échelle,file:///Users/molli-p/BodyOfKnowledge/Data_Management/Data_Management.txt,0.70907164,"ATAL,ALMA",Data_Management,Data_Management,0,"The lecture primarily focuses on distributed data management at large scale and does not comprehensively cover the broader topics of database design, query processing, indexing, transaction management, and data mining as presented in the knowledge unit."
http://example.org/course/X3IA020,Gestion des données distribuées à large échelle,file:///Users/molli-p/BodyOfKnowledge/Specialized_Platform_Development_SPD/SPD-Web_Platforms.txt,0.7010016,"ATAL,ALMA",Specialized_Platform_Development_SPD,SPD-Web_Platforms,1,"The lecture covers OLTP, OLAP, stream processing, distributed datastores and Map-Reduce, which are a significant subset of the knowledge unit's topics."
http://example.org/course/X3IA030,Distributed Architectures,file:///Users/molli-p/BodyOfKnowledge/Networking_and_Communication_NC/NC-Fundamentals_Fundamentals.txt,0.72459847,ALMA,Networking_and_Communication_NC,NC-Fundamentals_Fundamentals,1,"The lecture covers data integration and decentralized web, which is partially related to the Knowledge Unit's topics on networking fundamentals."
http://example.org/course/X3IA030,Distributed Architectures,file:///Users/molli-p/BodyOfKnowledge/Specialized_Platform_Development_SPD/SPD-Web_Platforms.txt,0.7150433,ALMA,Specialized_Platform_Development_SPD,SPD-Web_Platforms,1,"The lecture covers most of the topics in the Knowledge Unit, with some overlap in points 5 and 6."
http://example.org/course/X3IA030,Distributed Architectures,file:///Users/molli-p/BodyOfKnowledge/System_Fundamentals_SF/SF-Basic_Concepts.txt,0.68925345,ALMA,System_Fundamentals_SF,SF-Basic_Concepts,1,"The lecture covers most of the topics, including digital vs analog systems, state machines, and parallel processing, which are also part of the knowledge unit."
http://example.org/course/X3IA040,Ingénierie dirigée par les modèles,file:///Users/molli-p/BodyOfKnowledge/Algorithmic_Foundations_AL/AL-Models_Computational_Models_and_Formal_Languages.txt,0.721132,ALMA,Algorithmic_Foundations_AL,AL-Models_Computational_Models_and_Formal_Languages,1,"The lecture covers the formal automata and languages part of the Knowledge Unit, including finite state, pushdown, linear bounded, and Turing machines, as well as regular, context-free, and recursively enumerable languages."
http://example.org/course/X3IA040,Ingénierie dirigée par les modèles,file:///Users/molli-p/BodyOfKnowledge/Algorithmic_Foundations_AL/AL-Models_Computational_Models_and_Formal_Languages.txt,0.7157275,ALMA,Algorithmic_Foundations_AL,AL-Models_Computational_Models_and_Formal_Languages,1,"The lecture covers the formal automata and languages part of the Knowledge Unit, including finite state, pushdown, linear bounded, and Turing machines, as well as regular, context-free, and recursively enumerable languages."
http://example.org/course/X3IA040,Ingénierie dirigée par les modèles,file:///Users/molli-p/BodyOfKnowledge/Architecture_and_Organization_AR/AR-Assembly_Assembly_Level_Machine_Organization.txt,0.70719457,ALMA,Architecture_and_Organization_AR,AR-Assembly_Assembly_Level_Machine_Organization,1,"The lecture covers topics related to machine organization and assembly level programming, which overlap with the knowledge unit's content on instruction set architecture (ISA), subroutines, I/O, and interrupts."
http://example.org/course/X3IA050,Gestion de Projet,file:///Users/molli-p/BodyOfKnowledge/Software_Engineering_SE/SE-Project_Management.txt,0.72114503,ALMA,Software_Engineering_SE,SE-Project_Management,1,"The lecture covers the majority of the knowledge unit's core concepts, including project management principles, estimating costs and durations, and tools for collaborative work."
http://example.org/course/X3IA050,Gestion de Projet,file:///Users/molli-p/BodyOfKnowledge/Software_Engineering_SE/SE-Formal_Methods.txt,0.6987541,ALMA,Software_Engineering_SE,SE-Formal_Methods,1,"The lecture covers key aspects of project management, including estimation and organization of collaborative work."
http://example.org/course/X3IA050,Gestion de Projet,file:///Users/molli-p/BodyOfKnowledge/Graphics_and_Interactive_Techniques_GIT/GIT-3D_Modeling.txt,0.6979156,ALMA,Graphics_and_Interactive_Techniques_GIT,GIT-3D_Modeling,1,"Lecture covers project management concepts including estimation of costs and duration, which is also covered in GIT-3D Modeling KA Core."
http://example.org/course/X3IA060,Services,file:///Users/molli-p/BodyOfKnowledge/Networking_and_Communication_NC/NC-Fundamentals_Fundamentals.txt,0.7087617,ALMA,Networking_and_Communication_NC,NC-Fundamentals_Fundamentals,1,"The lecture covers services, SOA, web-services, and related technologies, which is a subset of the knowledge unit's content on networking fundamentals."
http://example.org/course/X3IA060,Services,file:///Users/molli-p/BodyOfKnowledge/Specialized_Platform_Development_SPD/SPD-Web_Platforms.txt,0.6919369,ALMA,Specialized_Platform_Development_SPD,SPD-Web_Platforms,1,"The lecture covers the core concepts of web services, SOA, and cloud services, as well as software development principles such as Domain-Driven Design (DDD)"
http://example.org/course/X3IA060,Services,file:///Users/molli-p/BodyOfKnowledge/Specialized_Platform_Development_SPD/SPD-Web_Platforms.txt,0.6910347,ALMA,Specialized_Platform_Development_SPD,SPD-Web_Platforms,1,"The lecture covers the core concepts of web services, SOA, and cloud services, as well as software development principles such as Domain-Driven Design (DDD)"
http://example.org/course/X3IA090,ANGLAIS,file:///Users/molli-p/BodyOfKnowledge/Artificial_Intelligence_AI/AI-NLP_Natural_Language_Processing.txt,0.61084867,ALMA,Artificial_Intelligence_AI,AI-NLP_Natural_Language_Processing,1,"The lecture covers the core topics of Natural Language Processing, including grammars, parsing algorithms, semantics, and deep learning for NLP."
http://example.org/course/X3IA090,ANGLAIS,file:///Users/molli-p/BodyOfKnowledge/Architecture_and_Organization_AR/AR-Representation_Machine-Level_Data_Representation.txt,0.6107744,ALMA,Architecture_and_Organization_AR,AR-Representation_Machine-Level_Data_Representation,0,"The lecture does not cover at least two essential topics: AR-Representation and the representation of non-numeric data, arrays, and UTF data types."
http://example.org/course/X3IA090,ANGLAIS,file:///Users/molli-p/BodyOfKnowledge/Specialized_Platform_Development_SPD/SPD-Common_Aspects.txt,0.60996294,ALMA,Specialized_Platform_Development_SPD,SPD-Common_Aspects,0,"The lecture only provides an objective (or goal) without describing the content of the course, whereas the Knowledge Unit covers a specific topic with detailed information and learning outcomes."
http://example.org/course/X3IA100,Conferences,file:///Users/molli-p/BodyOfKnowledge/Networking_and_Communication_NC/NC-Fundamentals_Fundamentals.txt,0.6582147,ALMA,Networking_and_Communication_NC,NC-Fundamentals_Fundamentals,0,"The lecture content is not explicitly mentioned, but the Knowledge Unit has a detailed description of Fundamentals in Computer Science."
http://example.org/course/X3IA100,Conferences,file:///Users/molli-p/BodyOfKnowledge/Graphics_and_Interactive_Techniques_GIT/GIT-Augmented_Reality.txt,0.6488639,ALMA,Graphics_and_Interactive_Techniques_GIT,GIT-Augmented_Reality,0,"The lecture content is not provided, making it difficult to determine if it covers a large subset of the Knowledge Unit."
http://example.org/course/X3IA100,Conferences,file:///Users/molli-p/BodyOfKnowledge/Software_Engineering_SE/SE-Formal_Methods.txt,0.6419894,ALMA,Software_Engineering_SE,SE-Formal_Methods,1,"The lecture covers the core concepts of SE-Formal Methods, which is the foundation of the Knowledge Unit."
http://example.org/course/X3IAIMT,Composition et gestion avancées de systèmes répartis(EMN),file:///Users/molli-p/BodyOfKnowledge/Graphics_and_Interactive_Techniques_GIT/GIT-Virtual_Reality.txt,0.6865258,ALMA,Graphics_and_Interactive_Techniques_GIT,GIT-Virtual_Reality,N3bdf7b5d4d68493e939ecabef8d1bc82,N626e61dffee442ff93e42204e94a41d3
