code,label,location,level,semester,responsible,hours,prerequisite,parcours,evaluation,obtention,objective,content,methods,language,bibliography
XMS1TU010,Bases de comptabilité,Niveau Master,Master,1,Volume horaire total TOTAL : 22h Répartition : CM : 0h TD : 0h CI : 22h TP : 0h EAD : 0h,TOTAL : 22h Répartition : CM : 0h TD : 0h CI : 22h TP : 0h EAD : 0h,(s),"M1 CMI-INA,M1 CMI-IS,M1 CMI-OPTIM,M1 CMI-ICM",Bases de comptabilité 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU030,Compilation,UFR des Sciences et des Techniques,Master,2,SUNYE GERSON,TOTAL : 24h Répartition : CM : 16h TD : 8h CI : 0h TP : 0h EAD : 0h,(s),"Visual Computing (VICO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1",Compilation 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU020,Apprentissage automatique,Niveau Master,Master,2,DE LA HIGUERA COLIN,TOTAL : 23.99h Répartition : CM : 12h TD : 5.33h CI : 0h TP : 6.66h EAD : 0h,(s),"Optimisation en Recherche Opérationnelle (ORO),M1 Apprentissage et Traitement Automatique de
la Langue (ATAL),M1 Architecture Logicielle (ALMA),M1 CMI-OPTIM,M1 Smart Computing",Machine Learning 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU040,Projet de recherche,Nantes,Master,2,SUNYE GERSON,TOTAL : 16h Répartition : CM : 16h TD : 0h CI : 0h TP : 0h EAD : 0h,(s),"(ORO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture",Projet de recherche 100%,Programme,(résultats d'apprentissage),"Les activités visées
- Conception et élaboration d’une démarche de recherche et développement, d’études et
prospective
- Mise en oeuvre d’une démarche de recherche et développement, d’études et prospective",Langue d’enseignement Français,Français,
XMS2IU010,Professionnalisation et éthique,UFR Sciences et techniques,Master,2,SUNYE GERSON,TOTAL : 23.99h Répartition : CM : 13.33h TD : 10.66h CI : 0h TP : 0h EAD : 0h,(s),"Opérationnelle (ORO),M1 Visual Computing (VICO),M1 Architecture Logicielle (ALMA),M1 Data",Ethique 50%,"Programme
- Professionnalisation (XMS2IE011)",(résultats d'apprentissage),Méthodes d’enseignement,Bibliographie,Français,XMS2IE012 Ethique
XMS2IU200,Optimiser sous incertitude,UFR des Sciences et des Techniques,Master,2,PRZYBYLSKI ANTHONY,TOTAL : 24h Répartition : CM : 12h TD : 8h CI : 0h TP : 4h EAD : 0h,(s),"M1 Optimisation en Recherche Opérationnelle (ORO),M1 CMI-OPTIM",Optimiser sous incertitude 100%,La note de CCE pourra contenir une part de pratique et d'oral.,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU060,Modèles probabilistes,UFR des Sciences et des Techniques,Master,2,DE LA HIGUERA COLIN,TOTAL : 24h Répartition : CM : 16h TD : 8h CI : 0h TP : 0h EAD : 0h,(s),"Science (DS) ,M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 CMI-OPTIM",Modèles probabilistes 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU080,Ingénierie de la décision,UFR des Sciences et des Techniques,Master,2,GUREVSKY EVGENY,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),"Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture Logicielle
(ALMA),M1 Data Science (DS) ,M1 CMI-OPTIM",Ingénierie de la décision 100%,La note de CCE pourra contenir une part de pratique et d'oral.,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU070,Introduction au traitement d'image,UFR des sciences et des techniques,Master,2,PERREIRA DA SILVA MATTHIEU,TOTAL : 24h Répartition : CM : 0h TD : 16h CI : 8h TP : 0h EAD : 0h,(s),"(VICO),M1 Optimisation en Recherche Opérationnelle (ORO),M1 Architecture Logicielle (ALMA),M1",Introduction au traitement d'image 100%,Programme,(résultats d'apprentissage),•,"(2h40) qui permettent de traiter différente thématiques. La dernière séquence (3 TDs) concerne
l'étude d'un cas pratique au travers d'un mini projet.","Français
• Gonzalez, R. C., Woods, R. E. (2018). Digital image processing. Upper Saddle River, N.J.: Prentice","Press, Boca Raton, FL, 2015, 1053 pp. ISBN: 978-1498740265. Microscopy and"
XMS2IU090,Informatique temps réel et embarquée,UFR Sciences et techniques,Master,2,SKAF-MOLLI HALA,TOTAL : 24h Répartition : CM : 12h TD : 5.33h CI : 0h TP : 6.67h EAD : 0h,(s),"(VICO),M1 Optimisation en Recherche Opérationnelle (ORO),M1 Architecture Logicielle (ALMA),M1",Informatique temps réel et embarquée 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU120,Conception et Analyse d'Algorithmes Efficaces,UFR des Sciences et des Technqiues,Master,2,FERTIN GUILLAUME,TOTAL : 24h Répartition : CM : 12h TD : 8h CI : 0h TP : 4h EAD : 0h,(s),"Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture Logicielle
(ALMA),M1 Data Science (DS) ,M1 CMI-OPTIM",Conception et Analyse d'Algorithmes Efficaces 100%,Programme,(résultats d'apprentissage),"plusieurs algorithmes entre eux
• évaluation de la complexité d'un problème (Polynomial vs NP-dur)
• en cas de problème ""difficile"" (NP-dur), étude de deux stratégies de résolution: algorithmes
d'approximation et complexité paramétrée (à exponentielle faible)",Langue d’enseignement Français,Français,
XMS2IU100,Introduction au Traitement Automatique des Langues,UFR des Sciences et des Techniques,Master,2,DUFOUR RICHARD,TOTAL : 24h Répartition : CM : 8h TD : 16h CI : 0h TP : 0h EAD : 0h,(s),"Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture Logicielle
(ALMA),M1 Data Science (DS) ,M1 CMI-OPTIM",Introduction au Traitement Automatique des Langues 100%,Programme,(résultats d'apprentissage),"et l'apprentissage profond, seront présentés. Les enjeux sociétaux et les limites des modèles de
langue actuels seront également abordés. Enfin, une part importante de l'UE intègrera des travaux
sur machine sous forme de travaux pratiques : il s'agira de manipuler les concepts du traitement du
langage au travers d'exercice ciblé ainsi que d'un petit projet permettant de résoudre un problème
ciblé grâce au techniques actuels d'intelligence artificielle adaptées au langage.",Langue d’enseignement Français,Français,
XMS2IU110,Ingéniérie des réseaux,UFR Sciences et techniques,Master,2,HAMMA SALIMA,TOTAL : 24h Répartition : CM : 12h TD : 8h CI : 0h TP : 4h EAD : 0h,(s),"(ATAL),M1 Optimisation en Recherche Opérationnelle (ORO),M1 Architecture Logicielle (ALMA),M1",Ingénierie des réseaux 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2MU220,Optimisation déterministe et stochastique,Niveau Master,Master,2,PHILIPPE ANNE,TOTAL : 60h Répartition : CM : 28h TD : 32h CI : 0h TP : 0h EAD : 0h,(s),"(MACS),M1 CMI-IS,M1 CMI-OPTIM",Optimisation déterministe et stochastique 100%,"La note obtenue à l’évaluation de remplacement viendra se substituer à la ou aux notes d’absences
justifiées.","(résultats d'apprentissage)
gradient stochastique, de recherche aveugle et de recuit simulé
• Explique le principe de l’algorithme EM et cite des exemples de problèmes d’optimisation pour
lequel il est adapté
• Compare les avantages et les inconvénients de chacune des méthodes d’optimisation précédentes.",• Problèmes avec contraintes : méthodes de descente et de pénalisation,"Langue d’enseignement Français
• P. G. Ciarlet, Introduction à l'analyse numérique matricielle et à l'optimisation, Dunod, 1998.
• G. Allaire, Analyse numérique et optimisation, Ellipses, 2005.","Français
• P. G. Ciarlet, Introduction à l'analyse numérique matricielle et à l'optimisation, Dunod, 1998.
• G. Allaire, Analyse numérique et optimisation, Ellipses, 2005.","• C. P. Robert, G. Casella, Méthodes de Monte-Carlo avec R, Springer, 2011.
• K. Lange, Optimization, Springer, 2014."
XMS2IU130,stage volontaire en informatique,Niveau Master,Master,2,SUNYE GERSON,TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h,(s),"Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture Logicielle
(ALMA),M1 Data Science (DS) ,M1 CMI-OPTIM",Stage volontaire en informatique 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2AU010,English for Scientific Communication-Online Course,Distanciel,Master,2,TOWNEND ALICE,TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h,(s) Aucune,"Mention Bioinformatique,M1 Sciences & Santé,M1 Modélisation, Analyse numérique et Calcul",English for Scientific Communication-Online Course 100%,Programme,"(résultats d'apprentissage)
d’une publication scientifique
• S’être familiarisés avec des situations linguistiques courantes en recherche : traduction, rédaction
d’abstracts et d’articles, peer-reviewing, présentation orale
• Communiquer efficacement à l’écrit comme à l’oral dans un contexte scientifique et institutionnel","• S’être familiarisés avec des situations linguistiques courantes en recherche : traduction, rédaction
d’abstracts et d’articles, peer-reviewing, présentation orale
• Communiquer efficacement à l’écrit comme à l’oral dans un contexte scientifique et institutionnel",Distanciel,Anglais,"Goodson, Patricia. Becoming an Academic Writer. 50 Exercises for Paced, Productive, and Powerful"
